ArchDiagramId,ArchDiagramParameterName,ArchDiagramParameterValue
1,active_cores,1.0
2,exec_time_secs,4.933939393939395e-06
3,l2_cached_ratio,50.0
4,aiv0_simd_ratio,17.295172583220737
5,aiv0_simt_ratio,0.0
6,aiv0_scalar_ratio,48.38471932195062
7,aiv1_simd_ratio,17.295172583220737
8,aiv1_simt_ratio,0.0
9,aiv1_scalar_ratio,48.8514924456455
10,aic_cube_ratio,0.0
11,aic_fixp_ratio,0.0
12,aic_scalar_ratio,50.52204888834295
13,aic_out_to_l1_gbs,0.0
14,aic_out_to_l1_cnt,0.0
15,aic_out_to_l1_ratio,0.0
16,aic_l1_to_l0a_gbs,0.0
17,aic_l1_to_l0a_cnt,0.0
18,aic_l1_to_l0a_ratio,0.0
19,aic_l1_to_l0b_gbs,0.0
20,aic_l1_to_l0b_cnt,0.0
21,aic_l1_to_l0b_ratio,0.0
22,aic_l0a_to_cube_gbs,0.0
23,aic_l0a_to_cube_cnt,0.0
24,aic_l0a_to_cube_ratio,0.0
25,aic_l0b_to_cube_gbs,0.0
26,aic_l0b_to_cube_cnt,0.0
27,aic_l0b_to_cube_ratio,0.0
28,aic_cube_to_l0c_gbs,0.0
29,aic_cube_to_l0c_cnt,0.0
30,aic_cube_to_l0c_ratio,0.0
31,aic_l0c_to_out_gbs,0.0
32,aic_l0c_to_out_cnt,0.0
33,aic_l0c_to_out_ratio,0.0
34,aic_l0c_to_l1_gbs,0.0
35,aic_l0c_to_l1_cnt,0.0
36,aic_l0c_to_l1_ratio,0.0
37,aic_l0c_to_ub0_gbs,0.0
38,aic_l0c_to_ub0_cnt,0.0
39,aic_l0c_to_ub0_ratio,0.0
40,aic_l0c_to_ub1_gbs,0.0
41,aic_l0c_to_ub1_cnt,0.0
42,aic_l0c_to_ub1_ratio,0.0
43,aic_l0c_to_cube_gbs,0.0
44,aic_l0c_to_cube_cnt,0.0
45,aic_l0c_to_cube_ratio,0.0
46,aiv0_ub_to_simd_gbs,0.0
47,aiv0_ub_to_simd_cnt,0.0
48,aiv0_ub_to_simd_ratio,0.0
49,aiv0_simd_to_ub_gbs,0.0
50,aiv0_simd_to_ub_cnt,0.0
51,aiv0_simd_to_ub_ratio,0.0
52,aiv0_ub_to_simt_gbs,0.0
53,aiv0_ub_to_simt_cnt,0.0
54,aiv0_ub_to_simt_ratio,0.0
55,aiv0_simt_to_ub_gbs,0.0
56,aiv0_simt_to_ub_cnt,0.0
57,aiv0_simt_to_ub_ratio,0.0
58,aiv0_cache_to_simt_gbs,0.0
59,aiv0_cache_to_simt_cnt,0.0
60,aiv0_cache_to_simt_ratio,0.0
61,aiv0_simt_to_cache_gbs,0.0
62,aiv0_simt_to_cache_cnt,0.0
63,aiv0_simt_to_cache_ratio,0.0
64,aiv0_out_to_ub_gbs,0.7731544636139601
65,aiv0_out_to_ub_cnt,8.0
66,aiv0_out_to_ub_ratio,0.24945507642205333
67,aiv0_ub_to_out_gbs,0.7731544636139601
68,aiv0_ub_to_out_cnt,8.0
69,aiv0_ub_to_out_ratio,0.5294625242497687
70,aiv0_ub_to_l1_gbs,0.0
71,aiv0_ub_to_l1_cnt,0.0
72,aiv0_ub_to_l1_ratio,0.0
73,aiv0_out_to_simt_gbs,0.0
74,aiv0_out_to_simt_cnt,0.0
75,aiv0_out_to_simt_ratio,0.0
76,aiv0_simt_to_out_gbs,0.0
77,aiv0_simt_to_out_cnt,0.0
78,aiv0_simt_to_out_ratio,0.0
79,aiv1_ub_to_simd_gbs,0.0
80,aiv1_ub_to_simd_cnt,0.0
81,aiv1_ub_to_simd_ratio,0.0
82,aiv1_simd_to_ub_gbs,0.0
83,aiv1_simd_to_ub_cnt,0.0
84,aiv1_simd_to_ub_ratio,0.0
85,aiv1_ub_to_simt_gbs,0.0
86,aiv1_ub_to_simt_cnt,0.0
87,aiv1_ub_to_simt_ratio,0.0
88,aiv1_simt_to_ub_gbs,0.0
89,aiv1_simt_to_ub_cnt,0.0
90,aiv1_simt_to_ub_ratio,0.0
91,aiv1_cache_to_simt_gbs,0.0
92,aiv1_cache_to_simt_cnt,0.0
93,aiv1_cache_to_simt_ratio,0.0
94,aiv1_simt_to_cache_gbs,0.0
95,aiv1_simt_to_cache_cnt,0.0
96,aiv1_simt_to_cache_ratio,0.0
97,aiv1_out_to_ub_gbs,0.7731544636139601
98,aiv1_out_to_ub_cnt,8.0
99,aiv1_out_to_ub_ratio,0.25503446062727914
100,aiv1_ub_to_out_gbs,0.7731544636139601
101,aiv1_ub_to_out_cnt,8.0
102,aiv1_ub_to_out_ratio,0.37025002872242646
103,aiv1_ub_to_l1_gbs,0.0
104,aiv1_ub_to_l1_cnt,0.0
105,aiv1_ub_to_l1_ratio,0.0
106,aiv1_out_to_simt_gbs,0.0
107,aiv1_out_to_simt_cnt,0.0
108,aiv1_out_to_simt_ratio,0.0
109,aiv1_simt_to_out_gbs,0.0
110,aiv1_simt_to_out_cnt,0.0
111,aiv1_simt_to_out_ratio,0.0
112,aic_l0c_to_all_syn_gbs,0.0
113,aic_l0c_to_all_syn_cnt,0.0
114,aic_l0c_to_all_syn_ratio,0.0
115,l2_to_hbm_syn_gbs,1.5463089272279202
116,l2_to_hbm_syn_cnt,16.0
117,l2_to_hbm_syn_ratio,0.8997125529721952
118,hbm_to_l2_syn_gbs,0.7731544636139601
119,hbm_to_l2_syn_cnt,8.0
120,hbm_to_l2_syn_ratio,0.24945507642205333
