AnalysisName,AnalysisPassed
ascend950_fix_start_time_analyzer,1
instr_units_usage,1
vector_utilization,1
ascend950_spr_instr_info_analyzer,1
ascend950_mask_analyzer,1
ascend950_simt_memory_access,1
ascend950_shared_bank_conflicts,1
ascend950_branch_efficiency_analyzer,1
ascend950_dma_mov_align_analyzer,1
ascend950_dma_mov_multi_analyzer,1
ascend950_dma_mov_load_2d_analyzer,1
ascend950_dma_mov_load_3d_analyzer,1
ascend950_dma_mov_ub_analyzer,1
ascend950_dma_mov_nd_dma_analyzer,1
ascend950_mmad_analyzer,1
ascend950_fixp_analyzer,1
ascend950_pipe_utilization,1
ascend950_pipe_dependency_flags,1
ascend950_pipe_dependency_blocks,1
ascend950_pipe_dependency_buffers,0
ascend950_pipe_dependency_ffts,1
ascend950_simt_ldg_stg_analyzer,1
arch_diagram,1
region_tracing,1
ascend950_simd_region_tracing_analyzer,1
ascend950_vf_ipc_analyzer,1
ascend950_vf_simt_ipc_analyzer,1
ascend950_scalar_ipc_analyzer,1
ascend950_scalar_ipc_dynamic_analyzer,1
ascend950_unit_utilization_analyzer,1
ascend950_subqueue_utilization_analyzer,1
ascend950_simd_sampling_analyzer,1
ascend950_critical_path,1
