Tick,ExecInstrId,CoreId,CoreTypeId,IsGeneralHazardPass,IsPushInstrFail
3621,1924145348609,0,3,1,0
3622,1924145348610,0,3,0,0
3623,1924145348610,0,3,0,0
3624,1924145348610,0,3,0,0
3625,1924145348610,0,3,1,0
3625,1924145348611,0,3,1,0
3626,1924145348612,0,3,1,0
3626,1924145348613,0,3,1,0
3627,1924145348614,0,3,1,0
3627,1924145348615,0,3,1,0
3628,1924145348616,0,3,1,0
3628,1924145348617,0,3,1,0
3629,1924145348618,0,3,1,0
3629,1924145348619,0,3,1,0
3630,1924145348620,0,3,1,0
3630,1924145348621,0,3,1,0
3631,1924145348622,0,3,1,0
3631,1924145348623,0,3,0,0
3632,1924145348623,0,3,1,0
3632,1924145348624,0,3,0,0
3633,1924145348624,0,3,0,0
3634,1924145348624,0,3,0,0
3635,1924145348624,0,3,1,0
3635,1924145348625,0,3,1,0
3636,1924145348626,0,3,1,0
3636,1924145348627,0,3,0,0
3637,1924145348627,0,3,0,0
3638,1924145348627,0,3,0,0
3639,1924145348627,0,3,0,0
3640,1924145348627,0,3,1,0
3640,1924145348628,0,3,1,0
3641,1924145348629,0,3,1,0
3641,1924145348630,0,3,1,0
3642,1924145348631,0,3,1,0
3642,1924145348632,0,3,1,0
3643,1924145348633,0,3,1,0
3643,1924145348634,0,3,1,0
3644,1924145348635,0,3,1,0
3644,1924145348636,0,3,1,0
3645,1924145348637,0,3,1,0
3645,1924145348638,0,3,1,0
3646,1924145348639,0,3,1,0
3646,1924145348640,0,3,1,0
3647,1924145348641,0,3,1,0
3647,1924145348642,0,3,1,0
3648,1924145348643,0,3,1,0
3648,1924145348644,0,3,1,0
3649,1924145348645,0,3,1,0
3649,1924145348646,0,3,1,0
3650,1924145348647,0,3,1,0
3650,1924145348648,0,3,1,0
3651,1924145348649,0,3,1,0
3651,1924145348650,0,3,1,0
3652,1924145348651,0,3,1,0
3652,1924145348652,0,3,0,0
3653,1924145348652,0,3,0,0
3654,1924145348652,0,3,0,0
3655,1924145348652,0,3,0,0
3656,1924145348652,0,3,0,0
3658,1649267441728,0,2,1,0
3657,1924145348652,0,3,0,0
3658,1649267441729,0,2,1,0
3658,1924145348652,0,3,0,0
3659,1649267441730,0,2,0,0
3659,1924145348652,0,3,0,0
3660,1649267441730,0,2,0,0
3660,1924145348652,0,3,0,0
3661,1649267441730,0,2,0,0
3662,1649267441730,0,2,1,0
3661,1924145348652,0,3,0,0
3662,1649267441731,0,2,1,0
3663,1649267441732,0,2,1,0
3662,1924145348652,0,3,0,0
3663,1649267441733,0,2,1,0
3664,1649267441734,0,2,1,0
3663,1924145348652,0,3,0,0
3664,1649267441735,0,2,1,0
3665,1649267441736,0,2,1,0
3664,1924145348652,0,3,0,0
3665,1649267441737,0,2,1,0
3666,1649267441738,0,2,1,0
3665,1924145348652,0,3,0,0
3666,1649267441739,0,2,1,0
3667,1649267441740,0,2,1,0
3666,1924145348652,0,3,0,0
3667,1649267441741,0,2,1,0
3668,1649267441742,0,2,1,0
3667,1924145348652,0,3,0,0
3668,1649267441743,0,2,0,0
3669,1649267441743,0,2,1,0
3668,1924145348652,0,3,0,0
3669,1649267441744,0,2,0,0
3669,1924145348652,0,3,0,0
3670,1649267441744,0,2,0,0
3670,1924145348652,0,3,0,0
3671,1649267441744,0,2,0,0
3672,1649267441744,0,2,1,0
3671,1924145348652,0,3,0,0
3673,1374389534840,0,1,1,0
3672,1649267441745,0,2,1,0
3673,1649267441746,0,2,1,0
3672,1924145348652,0,3,0,0
3673,1374389534841,0,1,1,0
3673,1649267441747,0,2,0,0
3673,1924145348652,0,3,0,0
3674,1374389534842,0,1,0,0
3674,1649267441747,0,2,0,0
3674,1924145348652,0,3,0,0
3675,1374389534842,0,1,0,0
3675,1649267441747,0,2,0,0
3675,1924145348652,0,3,0,0
