ExecInstrId,SourceInstrAddr,ExecInstrTickStart,ExecInstrTickEnd,ExecInstrName,ExecInstrParams,InstrTypeId,ExecInstrCoreId,CoreTypeId,ExtendParams,SourceInstrEncoding,ExecInstrIsWait,ExecInstrIsSynchronization,ExecInstrIsDurationExcluded,ExecInstrVfClass,ExecInstrVfSimtClass
1374389534840,0,3673,3677,MOV_XD_SPR,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x02004880,0,0,0,,
1374389534841,4,3673,3677,MOVK,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x07c10000,0,0,0,,
1374389534842,8,3677,4606,DC_PRELOAD_XN_IMM,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x08c00000,0,0,0,,
1374389534843,12,3677,3681,MOV_XD_IMM,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x073afea0,0,0,0,,
1374389534844,16,3678,3682,MOVK,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x077b000f,0,0,0,,
1374389534845,20,3678,3682,MOV_XD_SPR,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x029e3880,0,0,0,,
1374389534846,24,3679,3683,MOV_XD_SPR,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x02224880,0,0,0,,
1374389534847,28,3679,3683,ADD,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x003bd781,0,0,0,,
1374389534848,32,3680,3684,MOV_XD_SPR,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x021f0880,0,0,0,,
1374389534849,36,3680,3684,MOV_XD_IMM,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x07207fff,0,0,0,,
1374389534850,40,3681,3685,SHR,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x026202b4,0,0,0,,
1374389534851,44,3681,3685,AND,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x00def80a,0,0,0,,
1374389534852,48,3682,3686,ADD_IMM,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x08231002,0,0,0,,
1374389534853,52,3682,3686,SHL,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x02e2020e,0,0,0,,
1374389534854,56,3683,3687,ADD_IMM,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x081ef001,0,0,0,,
1374389534855,60,3684,3689,MADD,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x003af884,0,0,0,,
1374389534856,64,3687,3691,ADD_IMM,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x083dd1d0,0,0,0,,
1374389534857,68,3687,3691,MOV_XD_SPR,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x02004880,0,0,0,,
1374389534858,72,3688,3692,MOVK,,1,0,1,"{""core_type"":""AIC"",""instr_type"":""SCALAR"",""is_duration_excluded"":0,""is_sync"":0,""is_wait"":0,""policy_version"":""10"",""queue_type"":""SCALAR"",""vf_class"":""NONE"",""vf_simt_class"":""NONE""}",0x07c10000,0,0,0,,
