ICacheEventId,CoreId,CoreTypeId,EventTimeTick,SourceInstrAddr,EventSize,HitStatus,ICacheEventType
1,0,1,858,624191668224,16,0,1
2,0,1,859,624191668352,128,0,1
3,0,1,860,624191668224,128,0,1
4,0,1,861,624191668480,128,0,1
5,0,1,862,624191668352,128,0,1
6,0,1,863,624191668608,128,0,1
7,0,1,864,624191668480,128,0,1
8,0,1,865,624191668608,128,0,1
9,0,1,866,624191668736,128,0,1
10,0,1,867,624191668864,128,0,1
11,0,1,868,624191668992,128,0,1
12,0,1,869,624191669120,128,0,1
13,0,1,870,624191669248,128,0,1
14,0,1,871,624191669376,128,0,1
15,0,1,872,624191669504,128,0,1
16,0,1,873,624191669632,128,0,1
17,0,1,874,624191669760,128,0,1
18,0,1,875,624191669888,128,0,1
19,0,1,876,624191670016,128,0,1
20,0,1,877,624191670144,128,0,1
21,0,2,893,624191670528,16,0,1
22,0,2,894,624191670656,128,0,1
23,0,3,927,624191670528,16,0,1
24,0,3,928,624191670656,128,0,1
25,0,3,3618,624191670544,16,1,1
26,0,3,3619,624191670560,16,1,1
27,0,3,3620,624191670576,16,1,1
28,0,3,3621,624191670592,16,1,1
29,0,3,3622,624191670608,16,1,1
30,0,3,3623,624191670624,16,1,1
31,0,3,3624,624191670640,16,1,1
32,0,3,3625,624191670656,16,1,1
33,0,3,3626,624191670672,16,1,1
34,0,3,3627,624191670688,16,1,1
35,0,3,3628,624191670704,16,1,1
36,0,3,3629,624191670720,16,1,1
37,0,3,3630,624191670736,16,1,1
38,0,3,3639,624191670752,16,1,1
39,0,3,3640,624191670768,16,1,1
40,0,3,3641,624191670784,16,0,1
41,0,3,3646,624191670912,128,0,1
42,0,3,3647,624191671040,128,0,1
43,0,3,3648,624191671168,128,0,1
44,0,2,3655,624191670544,16,1,1
45,0,2,3656,624191670560,16,1,1
46,0,2,3657,624191670576,16,1,1
47,0,2,3658,624191670592,16,1,1
48,0,2,3659,624191670608,16,1,1
49,0,2,3660,624191670624,16,1,1
50,0,2,3661,624191670640,16,1,1
51,0,2,3662,624191670656,16,1,1
52,0,2,3663,624191670672,16,1,1
53,0,2,3664,624191670688,16,1,1
54,0,2,3665,624191670704,16,1,1
55,0,2,3666,624191670720,16,1,1
56,0,2,3667,624191670736,16,1,1
57,0,1,3670,624191668240,16,1,1
58,0,1,3671,624191668256,16,1,1
59,0,1,3672,624191668272,16,1,1
60,0,1,3673,624191668288,16,1,1
61,0,1,3674,624191668304,16,1,1
62,0,1,3675,624191668320,16,1,1
63,0,1,3676,624191668336,16,1,1
64,0,2,3676,624191670752,16,1,1
65,0,1,3677,624191668352,16,1,1
66,0,2,3677,624191670768,16,1,1
67,0,1,3678,624191668368,16,1,1
68,0,2,3678,624191670784,16,0,1
69,0,1,3679,624191668384,16,1,1
70,0,1,3680,624191668400,16,1,1
71,0,1,3681,624191668416,16,1,1
72,0,1,3682,624191668432,16,1,1
73,0,2,3683,624191670912,128,0,1
74,0,2,3684,624191671040,128,0,1
75,0,2,3685,624191671168,128,0,1
76,0,1,3691,624191668448,16,1,1
77,0,1,3692,624191668464,16,1,1
78,0,1,3693,624191668480,16,1,1
79,0,1,3701,624191668496,16,1,1
80,0,1,3702,624191668512,16,1,1
81,0,1,3703,624191668528,16,1,1
82,0,1,3704,624191668544,16,1,1
83,0,1,3705,624191668560,16,1,1
84,0,1,3717,624191668576,16,1,1
