Tick,Util,CoreId,CoreTypeId,InstrTypeId
4638,1.0,0,2,55
4638,2.0,0,2,55
4639,1.0,0,2,55
4649,0.0,0,2,55
6041,1.0,0,2,55
6663,0.0,0,2,55
6986,1.0,0,2,55
6987,0.0,0,2,55
7095,1.0,0,2,55
7127,2.0,0,2,55
7242,3.0,0,2,55
7274,4.0,0,2,55
7389,5.0,0,2,55
7421,6.0,0,2,55
7536,7.0,0,2,55
7568,8.0,0,2,55
7655,7.0,0,2,55
7683,8.0,0,2,55
7711,7.0,0,2,55
7715,8.0,0,2,55
7830,9.0,0,2,55
7838,8.0,0,2,55
7862,9.0,0,2,55
7901,8.0,0,2,55
7977,9.0,0,2,55
8009,10.0,0,2,55
8489,9.0,0,2,55
8545,8.0,0,2,55
8672,7.0,0,2,55
8735,6.0,0,2,55
9304,5.0,0,2,55
9360,4.0,0,2,55
9487,3.0,0,2,55
9550,2.0,0,2,55
10143,1.0,0,2,55
10199,0.0,0,2,55
4594,1.0,0,3,55
4594,2.0,0,3,55
4595,1.0,0,3,55
4605,0.0,0,3,55
6042,1.0,0,3,55
6620,0.0,0,3,55
7057,1.0,0,3,55
7058,0.0,0,3,55
7166,1.0,0,3,55
7198,2.0,0,3,55
7313,3.0,0,3,55
7345,4.0,0,3,55
7460,5.0,0,3,55
7492,6.0,0,3,55
7607,7.0,0,3,55
7639,8.0,0,3,55
7729,7.0,0,3,55
7754,8.0,0,3,55
7785,7.0,0,3,55
7786,8.0,0,3,55
7901,9.0,0,3,55
7912,8.0,0,3,55
7933,9.0,0,3,55
7975,8.0,0,3,55
8048,9.0,0,3,55
8080,10.0,0,3,55
8555,9.0,0,3,55
8617,8.0,0,3,55
8744,7.0,0,3,55
8807,6.0,0,3,55
9384,5.0,0,3,55
9440,4.0,0,3,55
9567,3.0,0,3,55
9630,2.0,0,3,55
10211,1.0,0,3,55
10271,0.0,0,3,55
