ExecInstrId,EventId,EventName,FlowEnd,CategoryId
2473901162747,1192734545935966037,MTE1 awaiting CUBE event #0,0,1
2473901162751,1200580660912862681,MTE1 awaiting CUBE event #1,0,1
2473901162756,1208426775889759326,MTE1 awaiting CUBE event #2,0,1
3573412797017,1192734545935966037,MTE1 awaiting CUBE event #0,1,1
3573412797018,1200580660912862681,MTE1 awaiting CUBE event #1,1,1
3573412798950,1208426775889759326,MTE1 awaiting CUBE event #2,1,1
7146825582839,8037155122250494,"VEC pipe awaiting RLS_BUF ID: 0, count: 1, pipe is blocked.",0,3
7146825582850,8037155122250494,"VEC pipe awaiting RLS_BUF ID: 0, count: 1, pipe is blocked.",1,3
7146825584688,8042458891464411703,"MTE3 pipe awaiting RLS_BUF ID: 2, count: 1, pipe is blocked.",0,3
7146825584691,23729385076045626,"MTE2 pipe awaiting RLS_BUF ID: 0, count: 3, pipe is blocked.",0,3
7146825584695,8042458891464411703,"MTE3 pipe awaiting RLS_BUF ID: 2, count: 1, pipe is blocked.",1,3
7146825584702,8058151121418204997,"VEC pipe awaiting RLS_BUF ID: 2, count: 3, pipe is blocked.",0,3
7146825584860,4025248023293332195,"VEC pipe awaiting RLS_BUF ID: 1, count: 1, pipe is blocked.",0,3
7146825584876,4025248023293332195,"VEC pipe awaiting RLS_BUF ID: 1, count: 1, pipe is blocked.",1,3
7146825585474,23729385076045626,"MTE2 pipe awaiting RLS_BUF ID: 0, count: 3, pipe is blocked.",1,3
7146825585503,39421615029839718,"VEC pipe awaiting RLS_BUF ID: 0, count: 5, pipe is blocked.",0,3
7146825585510,39421615029839718,"VEC pipe awaiting RLS_BUF ID: 0, count: 5, pipe is blocked.",1,3
7146825585637,8058151121418204997,"VEC pipe awaiting RLS_BUF ID: 2, count: 3, pipe is blocked.",1,3
7421703489799,8098727773414459,"VEC pipe awaiting RLS_BUF ID: 0, count: 1, pipe is blocked.",0,3
7421703489806,8098727773414459,"VEC pipe awaiting RLS_BUF ID: 0, count: 1, pipe is blocked.",1,3
7421703491882,8042520464115575902,"MTE3 pipe awaiting RLS_BUF ID: 2, count: 1, pipe is blocked.",0,3
7421703491885,23790957727209825,"MTE2 pipe awaiting RLS_BUF ID: 0, count: 3, pipe is blocked.",0,3
7421703491889,8042520464115575902,"MTE3 pipe awaiting RLS_BUF ID: 2, count: 1, pipe is blocked.",1,3
7421703491896,8058212694069369196,"VEC pipe awaiting RLS_BUF ID: 2, count: 3, pipe is blocked.",0,3
7421703492089,4025309595944496429,"VEC pipe awaiting RLS_BUF ID: 1, count: 1, pipe is blocked.",0,3
7421703492146,4025309595944496429,"VEC pipe awaiting RLS_BUF ID: 1, count: 1, pipe is blocked.",1,3
7421703492634,23790957727209825,"MTE2 pipe awaiting RLS_BUF ID: 0, count: 3, pipe is blocked.",1,3
7421703492679,39483187681003899,"VEC pipe awaiting RLS_BUF ID: 0, count: 5, pipe is blocked.",0,3
7421703492682,39483187681003899,"VEC pipe awaiting RLS_BUF ID: 0, count: 5, pipe is blocked.",1,3
7421703492813,8058212694069369196,"VEC pipe awaiting RLS_BUF ID: 2, count: 3, pipe is blocked.",1,3
