ExecInstrId,SprName,SprValue
1374389534859,CTRL,1001000000000008
1374389534896,CTRL,1001000000000008
1374389534911,CTRL,1001000000000008
1374389534913,CTRL,1001000000000008
1374389534915,CTRL,1001000000000008
1374389534918,CTRL,1001000000000008
1374389534919,CTRL,1001000000000008
1374389534921,CTRL,1001000000000008
1374389534923,CTRL,1001000000000008
1374389534925,CTRL,1001000000000008
1374389534926,CTRL,1001000000000008
1374389534928,CTRL,1001000000000008
1374389534930,CTRL,1001000000000008
1374389534932,CTRL,1001000000000008
1374389534934,CTRL,1001000000000008
1374389534936,CTRL,1001000000000008
1374389534938,CTRL,1001000000000008
1374389534941,CTRL,1001000000000008
1374389534943,CTRL,1001000000000008
1374389534946,CTRL,1001000000000008
1374389534949,CTRL,1001000000000008
1374389534950,CTRL,1001000000000008
1374389534951,CTRL,1001000000000008
1374389534955,CONDITION_FLAG,0
1374389534957,CTRL,1001000000000008
1374389534960,CONDITION_FLAG,0
1374389534962,CONDITION_FLAG,0
1374389534965,CONDITION_FLAG,0
1374389534966,CTRL,1001000000000008
1374389534979,CTRL,1001000000000008
1374389534984,CTRL,1001000000000008
1374389534988,CTRL,1001000000000008
1374389534991,CTRL,1001000000000008
1374389535122,CTRL,1001000000000008
1374389535123,CTRL,1001000000000008
1374389535124,CTRL,1001000000000008
1374389535129,CTRL,1001000000000008
1374389535131,CTRL,1001000000000008
1374389535148,CTRL,1001000000000008
1374389535154,CTRL,1001000000000008
1374389535156,CTRL,1001000000000008
1374389535170,CTRL,1001000000000008
1374389535171,CTRL,1001000000000008
1374389535179,CTRL,1001000000000008
1374389535194,CTRL,1001000000000008
1374389535196,CTRL,1001000000000008
1374389535221,CTRL,1001000000000008
1374389535229,CTRL,1001000000000008
1374389535230,CTRL,1001000000000008
1374389535237,CTRL,1001000000000008
1374389535257,CTRL,1001000000000008
1374389535260,CTRL,1001000000000008
1374389535265,CTRL,1001000000000008
1374389535284,CTRL,1001000000000008
1374389535290,CTRL,1001000000000008
1374389535291,CTRL,1001000000000008
1374389535292,CTRL,1001000000000008
1374389535297,CONDITION_FLAG,0
1374389535299,CTRL,1001000000000008
1374389535300,CTRL,1001000000000008
6871947674182,CONDITION_FLAG,0
1374389535447,CTRL,1001000000000008
1374389535451,CTRL,1001000000000008
6871947674333,CONDITION_FLAG,0
1374389535461,CTRL,1001000000000008
1374389535462,CTRL,1001000000000008
1374389535465,CTRL,1001000000000008
1374389535466,CTRL,1001000000000008
1374389535471,CTRL,1001000000000008
1374389535475,CTRL,1001000000000008
1374389535477,CTRL,1001000000000008
1374389535478,CTRL,1001000000000008
1374389535481,CTRL,1001000000000008
1374389535482,CTRL,1001000000000008
1374389535484,CTRL,1001000000000008
1374389535488,CONDITION_FLAG,1
1374389535489,CTRL,1001000000000008
1374389535490,CTRL,1001000000000008
1374389535491,CTRL,1001000000000008
1374389535493,CTRL,1001000000000008
1374389535494,CTRL,1001000000000008
6871947674376,CONDITION_FLAG,0
1374389535623,CTRL,1001000000000008
1374389535625,CTRL,1001000000000008
1374389535627,CTRL,1001000000000008
1374389535628,CTRL,1001000000000008
1374389535629,CTRL,1001000000000008
1374389535630,CTRL,1001000000000008
1374389535631,CTRL,1001000000000008
1374389535635,CONDITION_FLAG,0
1374389535636,CTRL,1001000000000008
1374389535638,CTRL,1001000000000008
1374389535639,CTRL,1001000000000008
1374389535640,CTRL,1001000000000008
1374389535641,CTRL,1001000000000008
1374389535646,CONDITION_FLAG,0
1374389535648,CTRL,1001000000000008
1374389535649,CTRL,1001000000000008
6871947674531,CONDITION_FLAG,0
1374389535697,CTRL,1001000000000008
1374389535698,CTRL,1001000000000008
6871947674580,CONDITION_FLAG,0
1374389535701,CTRL,1001000000000008
1374389535702,CTRL,1001000000000008
1374389535705,CTRL,1001000000000008
1374389535706,CTRL,1001000000000008
1374389535711,CTRL,1001000000000008
1374389535715,CTRL,1001000000000008
1374389535717,CTRL,1001000000000008
1374389535718,CTRL,1001000000000008
1374389535721,CTRL,1001000000000008
1374389535722,CTRL,1001000000000008
1374389535723,CTRL,1001000000000008
1374389535724,CTRL,1001000000000008
1374389535728,CONDITION_FLAG,1
1374389535729,CTRL,1001000000000008
1374389535730,CTRL,1001000000000008
1374389535733,CTRL,1001000000000008
1374389535734,CTRL,1001000000000008
1374389535735,CTRL,1001000000000008
1374389535736,CTRL,1001000000000008
1374389535737,CTRL,1001000000000008
1374389535738,CTRL,1001000000000008
1374389535740,CTRL,1001000000000008
1374389535741,CTRL,1001000000000008
1374389535743,CTRL,1001000000000008
1374389535744,CTRL,1001000000000008
6871947674626,CONDITION_FLAG,0
1374389535774,CTRL,1001000000000008
1374389535776,CTRL,1001000000000008
1374389535778,CTRL,1001000000000008
1374389535779,CTRL,1001000000000008
1374389535781,CTRL,1001000000000008
1374389535782,CTRL,1001000000000008
1374389535787,CONDITION_FLAG,0
1374389535788,CTRL,1001000000000008
1374389535789,CTRL,1001000000000008
1374389535793,CTRL,1001000000000008
1374389535794,CTRL,1001000000000008
1374389535795,CTRL,1001000000000008
1374389535796,CTRL,1001000000000008
1374389535798,CTRL,1001000000000008
6871947674679,CONDITION_FLAG,1
1374389535800,CTRL,1001000000000008
1374389535801,CTRL,1001000000000008
1374389535802,CTRL,1001000000000008
1374389535807,CONDITION_FLAG,1
1374389535809,CTRL,1001000000000008
1374389535810,CTRL,1001000000000008
6871947674692,CONDITION_FLAG,1
