SourceInstrAddr,UniqueSubCoresUsed,UniqueWarpsUsed
0,1,
4,1,
8,1,
12,1,
16,1,
20,1,
24,1,
28,1,
32,1,
36,1,
40,1,
44,1,
48,1,
52,1,
56,1,
60,1,
64,1,
68,1,
72,1,
76,1,
80,1,
84,1,
88,1,
92,1,
96,1,
100,1,
104,1,
108,1,
112,1,
116,1,
120,1,
124,1,
128,1,
132,1,
136,1,
140,1,
144,1,
148,1,
152,1,
156,1,
160,1,
164,1,
168,1,
172,1,
176,1,
180,1,
184,1,
188,1,
192,1,
196,1,
200,1,
204,1,
208,1,
212,1,
216,1,
220,1,
224,1,
228,1,
236,1,
240,1,
244,1,
248,1,
252,1,
256,1,
260,1,
264,1,
268,1,
272,1,
276,1,
280,1,
284,1,
288,1,
292,1,
296,1,
300,1,
304,1,
308,1,
312,1,
316,1,
320,1,
324,1,
328,1,
332,1,
336,1,
340,1,
344,1,
348,1,
352,1,
356,1,
360,1,
364,1,
368,1,
372,1,
376,1,
380,1,
384,1,
388,1,
392,1,
396,1,
400,1,
404,1,
408,1,
412,1,
416,1,
420,1,
424,1,
428,1,
432,1,
436,1,
440,1,
444,1,
448,1,
452,1,
456,1,
460,1,
464,1,
468,1,
472,1,
476,1,
480,1,
484,1,
492,1,
496,1,
500,1,
508,1,
512,1,
516,1,
520,1,
528,1,
532,1,
536,1,
540,1,
544,1,
548,1,
552,1,
556,1,
560,1,
564,1,
568,1,
572,1,
576,1,
580,1,
584,1,
588,1,
592,1,
596,1,
600,1,
604,1,
608,1,
612,1,
616,1,
620,1,
624,1,
628,1,
632,1,
636,1,
640,1,
644,1,
648,1,
652,1,
656,1,
660,1,
664,1,
668,1,
672,1,
676,1,
680,1,
684,1,
688,1,
692,1,
696,1,
700,1,
704,1,
708,1,
712,1,
716,1,
720,1,
724,1,
728,1,
732,1,
736,1,
740,1,
744,1,
748,1,
752,1,
756,1,
760,1,
764,1,
768,1,
772,1,
776,1,
780,1,
784,1,
788,1,
792,1,
796,1,
800,1,
804,1,
808,1,
812,1,
816,1,
820,1,
824,1,
828,1,
832,1,
836,1,
840,1,
844,1,
932,1,
936,1,
940,1,
944,1,
948,1,
952,1,
956,1,
960,1,
964,1,
968,1,
972,1,
976,1,
984,1,
988,1,
992,1,
996,1,
1064,1,
1068,1,
1072,1,
1076,1,
1080,1,
1084,1,
1088,1,
1092,1,
1096,1,
1100,1,
1104,1,
1108,1,
1112,1,
1116,1,
1120,1,
1124,1,
1128,1,
1132,1,
1136,1,
1140,1,
1144,1,
1148,1,
1152,1,
1156,1,
1160,1,
1164,1,
1168,1,
1172,1,
1176,1,
1180,1,
1184,1,
1188,1,
1192,1,
1196,1,
1200,1,
1208,1,
1212,1,
1216,1,
1220,1,
1224,1,
1228,1,
1232,1,
1236,1,
1240,1,
1244,1,
1248,1,
1252,1,
1256,1,
1260,1,
1264,1,
1268,1,
1272,1,
1276,1,
1280,1,
1284,1,
1288,1,
1292,1,
1296,1,
1300,1,
1304,1,
1308,1,
1312,1,
1316,1,
1324,1,
1328,1,
1332,1,
1336,1,
1404,1,
1408,1,
1412,1,
1416,1,
1420,1,
1424,1,
1428,1,
1432,1,
1436,1,
1440,1,
1444,1,
1448,1,
1452,1,
1456,1,
1460,1,
1464,1,
1468,1,
1472,1,
1476,1,
1480,1,
1484,1,
1488,1,
1492,1,
1496,1,
1500,1,
1504,1,
1508,1,
1512,1,
1516,1,
1520,1,
1524,1,
1528,1,
1532,1,
1536,1,
1540,1,
1544,1,
1548,1,
1552,1,
1556,1,
1560,1,
1564,1,
1568,1,
1572,1,
1576,1,
1580,1,
1588,1,
1592,1,
1596,1,
1600,1,
1604,1,
1608,1,
852,1,
856,1,
860,1,
864,1,
868,1,
872,1,
876,1,
880,1,
884,1,
888,1,
892,1,
896,1,
900,1,
904,1,
908,1,
912,1,
916,1,
920,1,
1004,1,
1008,1,
1012,1,
1016,1,
1020,1,
1024,1,
1028,1,
1032,1,
1036,1,
1040,1,
1044,1,
1048,1,
1052,1,
1056,1,
1060,1,
1344,1,
1348,1,
1352,1,
1356,1,
1360,1,
1364,1,
1368,1,
1372,1,
