MetricId,MetricName
1,c_stat_ub_ldu_busy
2,c_stat_ub_stu_busy
3,c_stat_ub_gsu_busy
4,c_stat_ub_lsu_busy
5,c_stat_ub_vec_busy
6,c_stat_ldu_blocked
7,c_stat_stu_blocked
8,c_stat_ldu_grant_size
9,c_stat_stu_grant_size
10,c_stat_gsu_grant_size
11,c_cycle_icache_miss
12,c_cycle_send_stall
13,c_cycle_branch_wait_sreg
14,c_cycle_vloop_wait_sreg
15,c_cycle_vloop_bmode_flush
16,c_cycle_vloop_fetch_flush
17,c_cycle_vloop_execution
18,c_cycle_vloop_stall
19,c_cycle_wait_sreg
20,c_slot_idu_disp_total
21,c_slot_idu_not_disp.asu_busy
22,c_slot_idu_not_disp.vec_stall
23,c_slot_idu_not_disp.fe_bound
24,c_cycle_idu_not_disp.asu_busy
25,c_cycle_idu_not_disp.vec_stall
26,c_cycle_idu_not_disp.fe_bound
27,c_cycle_idu_fifo_empty
28,c_cycle_idu_fifo_stall
29,c_cycle_idu_sreg_stall
30,c_cycle_idu_instr_stall
31,c_cycle_idu_instr_stall.vloop_iter
32,c_cycle_idu_instr_stall.uop_split
33,c_cycle_idu_ports_stall
34,c_cycle_idu_ports_stall.asu
35,c_cycle_idu_ports_stall.vec
36,c_slot_idu_not_disp.asu_ld_busy
37,c_slot_idu_not_disp.asu_st_busy
38,c_slot_idu_not_disp.asu_mem_bar
39,c_cycle_shq_stall
40,c_cycle_ldq_stall
41,c_cycle_stq_stall
42,c_cycle_exq0_stall
43,c_cycle_exq1_stall
44,c_cycle_phy_reg_stall
45,c_cycle_phy_preg_stall
46,c_cycle_phy_vreg_stall
47,c_slot_idu_disp_rvecsu
48,c_slot_idu_disp_rvecld
49,c_slot_idu_disp_rvecst
50,c_slot_idu_disp_rvecex
51,c_slot_idu_disp_rveclp
52,c_slot_idu_disp_rvecld_ld
53,c_slot_idu_disp_rvecld_ga
54,c_slot_idu_disp_rvecst_st
55,c_slot_idu_disp_rvecst_sc
56,c_slot_idu_disp_rvec_3src
57,c_slot_idu_disp_rvec_2dst
58,c_slot_idu_disp_rvecld_2dst
59,c_slot_idu_disp_rvecex_2dst
60,c_slot_idu_disp_rvecld_512
61,c_slot_idu_disp_rvecst_v2src
62,c_slot_idu_disp_rvecex_v1dst
63,c_slot_idu_disp_rvecex_v2dst
64,c_stat_ldq_busy
65,c_stat_shq_busy
66,c_stat_stq_busy
67,c_stat_exq0_busy
68,c_stat_exq1_busy
69,c_stat_vreg_busy
70,c_stat_preg_busy
71,c_stat_ldq_used
72,c_stat_shq_used
73,c_stat_stq_used
74,c_stat_exq0_used
75,c_stat_exq1_used
76,c_stat_vreg_used
77,c_stat_preg_used
78,c_cycle_rvec_busy
79,c_cycle_rvec_back_busy
80,c_cycle_rvec_back_send
81,c_cycle_smembar_stall_vld
82,c_cycle_smembar_stall_vst
83,c_cycle_rvec_back_ex_ex_busy
84,c_cycle_rvec_back_ld_ld_busy
85,c_cycle_rvec_back_ld_ga_busy
86,c_cycle_rvec_back_st_st_busy
87,c_cycle_rvec_back_st_sc_busy
88,c_instr_exq0_fu_addconv
89,c_instr_exq0_fu_mul
90,c_instr_exq0_fu_mov
91,c_instr_exq0_fu_lut
92,c_instr_exq0_fu_sfu
93,c_instr_exq0_fu_lnexp
94,c_instr_exq0_fu_slide
95,c_instr_exq1_fu_addconv
96,c_instr_exq1_fu_mul
97,c_instr_exq1_fu_mov
98,c_instr_exq1_fu_lut
99,c_instr_exq1_fu_sfu
100,c_instr_exq1_fu_lnexp
101,c_instr_exq1_fu_slide
102,c_instr_exq_single
103,c_time_least_throughput
104,c_fly_exu0_fu_addconv
105,c_fly_exu0_fu_mul
106,c_fly_exu0_fu_mov
107,c_fly_exu0_fu_lut
108,c_fly_exu0_fu_sfu
109,c_fly_exu0_fu_lnexp
110,c_fly_exu0_fu_slide
111,c_fly_exu1_fu_addconv
112,c_fly_exu1_fu_mul
113,c_fly_exu1_fu_mov
114,c_fly_exu1_fu_lut
115,c_fly_exu1_fu_sfu
116,c_fly_exu1_fu_lnexp
117,c_fly_exu1_fu_slide
118,c_busy_exu0_fu_addconv
119,c_busy_exu0_fu_mul
120,c_busy_exu0_fu_mov
121,c_busy_exu0_fu_lut
122,c_busy_exu0_fu_sfu
123,c_busy_exu0_fu_lnexp
124,c_busy_exu0_fu_slide
125,c_busy_exu1_fu_addconv
126,c_busy_exu1_fu_mul
127,c_busy_exu1_fu_mov
128,c_busy_exu1_fu_lut
129,c_busy_exu1_fu_sfu
130,c_busy_exu1_fu_lnexp
131,c_busy_exu1_fu_slide
132,c_exq0_empty
133,c_exq1_empty
134,c_cycle_exq0_dst_regport_cflt
135,c_cycle_exq1_dst_regport_cflt
136,c_cycle_exq0_valu_cflt
137,c_cycle_exq1_valu_cflt
138,c_cycle_exq0_valu_cflt_thrput
139,c_cycle_exq1_valu_cflt_thrput
140,c_cycle_exq0_valu_cflt_resc
141,c_cycle_exq1_valu_cflt_resc
142,c_cycle_exq0_src_not_ready_all
143,c_cycle_exq1_src_not_ready_all
144,c_busy_ex_instr
145,c_cycle_stq_st_src_not_ready_all
146,c_cycle_stq_sc_src_not_ready_all
147,c_cycle_stq_ga_src_not_ready_all
148,c_cycle_shq_st_src_not_ready_all
149,c_cycle_shq_sc_src_not_ready_all
150,c_cycle_shq_ga_src_not_ready_all
151,c_cycle_shq_avail_exq0_empty
152,c_cycle_shq_avail_exq1_empty
153,c_cycle_shq_ex_src_bound_by_ld
154,c_busy_ub_instr
155,c_cycle_ex0_stall_by_membar
156,c_cycle_ex1_stall_by_membar
157,c_shq_busy
158,c_shq_ex0_busy
159,c_shq_ex1_busy
160,c_shq_ex_busy
161,c_shq_ex0_issue_eq1
162,c_shq_ex1_issue_eq1
163,c_shq_ex_issue_eq1
164,c_shq_ex_issue_eq2
165,c_shq_st_busy
166,c_shq_st_issue_eq0
167,c_shq_st_issue_eq1
168,c_shq_sc_busy
169,c_shq_sc_issue_eq0
170,c_shq_sc_issue_eq1
171,c_shq_st_stall.membar
172,c_shq_sc_stall.membar
173,c_shq_st_sc_stall.membar
174,c_shq_st_stall.fu_cflt
175,c_shq_sc_stall.fu_cflt
176,c_shq_st_sc_stall.fu_cflt
177,c_shq_ga_busy
178,c_shq_ga_issue_eq0
179,c_shq_ga_issue_eq1
180,c_shq_ga_stall.membar
181,c_shq_ga_stall.fu_cflt
182,c_exq0_busy
183,c_exq1_busy
184,c_exq_busy
185,c_exq0_issue_eq0
186,c_exq1_issue_eq0
187,c_exq0_issue_eq1
188,c_exq1_issue_eq1
189,c_exq_issue_eq0
190,c_exq_issue_eq1
191,c_exq0_has_ge2_exq1_has_eq0
192,c_exq1_has_ge2_exq0_has_eq0
193,c_ldq_ld_busy
194,c_ldq_ld_issue_eq0
195,c_ldq_ld_issue_eq1
196,c_ldq_ld_issue_eq2
197,c_ldq_ld_stall.membar
198,c_ldq_ld_stall.fu_cflt
199,c_stq_st_busy
200,c_stq_st_issue_eq0
201,c_stq_st_issue_eq1
202,c_stq_sc_busy
203,c_stq_sc_issue_eq0
204,c_stq_sc_issue_eq1
205,c_stq_ga_busy
206,c_stq_ga_issue_eq0
207,c_stq_ga_issue_eq1
208,c_stq_st_stall.membar
209,c_stq_sc_stall.membar
210,c_stq_st_sc_stall.membar
211,c_stq_ga_stall.membar
212,c_stq_st_stall.fu_cflt
213,c_stq_sc_stall.fu_cflt
214,c_stq_st_sc_stall.fu_cflt
215,c_stq_ga_stall.fu_cflt
